,URL,ID,likes,dislikes,ratio
436,https://www.youtube.com/watch?v=1-xGerv5FOk,1-xGerv5FOk,10563886,231982,45.538
438,https://www.youtube.com/watch?v=W0DM5lcj6mw,W0DM5lcj6mw,4217756,117506,35.894
439,https://www.youtube.com/watch?v=6Dh-RL__uN4,6Dh-RL__uN4,12607069,914402,13.787
441,https://www.youtube.com/watch?v=cqlRmt73PzE,cqlRmt73PzE,131368,16533,7.946
442,https://www.youtube.com/watch?v=vRXZj0DzXIA,vRXZj0DzXIA,18557621,1296291,14.316
443,https://www.youtube.com/watch?v=kJQP7kiw5Fk,kJQP7kiw5Fk,48261894,5346790,9.026
444,https://www.youtube.com/watch?v=MBdVXkSdhwU,MBdVXkSdhwU,21731945,1079360,20.134
445,https://www.youtube.com/watch?v=K7BIPr6MBLo,K7BIPr6MBLo,64043,1333,48.044
446,https://www.youtube.com/watch?v=LDnsJy2BasM,LDnsJy2BasM,115600,3952,29.251
447,https://www.youtube.com/watch?v=h_D3VFfhvs4,h_D3VFfhvs4,7261028,223134,32.541
448,https://www.youtube.com/watch?v=U4_IiCusOOc,U4_IiCusOOc,202713,2708,74.857
449,https://www.youtube.com/watch?v=1D5cxbDbKMc,1D5cxbDbKMc,235018,4392,53.51
450,https://www.youtube.com/watch?v=TmKh7lAwnBI,TmKh7lAwnBI,7928490,308012,25.741
451,https://www.youtube.com/watch?v=yduLp7emdX8,yduLp7emdX8,10682,5143,2.077
453,https://www.youtube.com/watch?v=pBOU8eKYnEM,pBOU8eKYnEM,1425630,14907,95.635
454,https://www.youtube.com/watch?v=vwnpFEh6DDI,vwnpFEh6DDI,315993,9828,32.152
455,https://www.youtube.com/watch?v=gOMhN-hfMtY,gOMhN-hfMtY,4134436,129484,31.93
456,https://www.youtube.com/watch?v=6Mgqbai3fKo,6Mgqbai3fKo,9902804,792970,12.488
458,https://www.youtube.com/watch?v=8zdg-pDF10g,8zdg-pDF10g,296863,3332,89.095
459,https://www.youtube.com/watch?v=kffacxfA7G4,kffacxfA7G4,21174883,13121035,1.614
460,https://www.youtube.com/watch?v=JGwWNGJdvx8,JGwWNGJdvx8,29614620,1451876,20.397
461,https://www.youtube.com/watch?v=2zNB3CotyxM,2zNB3CotyxM,435483,32568,13.371
464,https://www.youtube.com/watch?v=WA4iX5D9Z64,WA4iX5D9Z64,3727564,170077,21.917
466,https://www.youtube.com/watch?v=OD5sPf-Kgbc,OD5sPf-Kgbc,17462,775,22.532
468,https://www.youtube.com/watch?v=szCubxWdckw,szCubxWdckw,590311,59650,9.896
469,https://www.youtube.com/watch?v=heaYw-10T18,heaYw-10T18,209694,4930,42.534
470,https://www.youtube.com/watch?v=bvWRMAU6V-c,bvWRMAU6V-c,3779419,73129,51.682
471,https://www.youtube.com/watch?v=87gWaABqGYs,87gWaABqGYs,3740442,109485,34.164
475,https://www.youtube.com/watch?v=ApXoWvfEYVU,ApXoWvfEYVU,12696242,447507,28.371
476,https://www.youtube.com/watch?v=GU-vN1BHwhQ,GU-vN1BHwhQ,272871,13304,20.51
477,https://www.youtube.com/watch?v=Y5WMMFQUP4I,Y5WMMFQUP4I,49871,5606,8.896
479,https://www.youtube.com/watch?v=QsC1BinUPxo,QsC1BinUPxo,81264,1690,48.085
480,https://www.youtube.com/watch?v=gBRi6aZJGj4,gBRi6aZJGj4,6731946,100242,67.157
482,https://www.youtube.com/watch?v=Y2NkuFIlLEo,Y2NkuFIlLEo,818765,11687,70.058
484,https://www.youtube.com/watch?v=DKYGY0HVoHE,DKYGY0HVoHE,588371,17288,34.033
485,https://www.youtube.com/watch?v=s_eViPLUngU,s_eViPLUngU,280327,11446,24.491
486,https://www.youtube.com/watch?v=ZXmjhRkPVFc,ZXmjhRkPVFc,114355,2495,45.834
487,https://www.youtube.com/watch?v=OBB-0OCCN9U,OBB-0OCCN9U,139760,4387,31.858
489,https://www.youtube.com/watch?v=JnJmBA8N-gY,JnJmBA8N-gY,184726,7629,24.214
490,https://www.youtube.com/watch?v=amhC8WYgNA4,amhC8WYgNA4,509192,19710,25.834
491,https://www.youtube.com/watch?v=dNCWe_6HAM8,dNCWe_6HAM8,11385697,230056,49.491
493,https://www.youtube.com/watch?v=lVZLHJIOVYY,lVZLHJIOVYY,499554,81039,6.164
494,https://www.youtube.com/watch?v=QMhVtPmPAW8,QMhVtPmPAW8,107990,1142,94.562
495,https://www.youtube.com/watch?v=M-P4QBt-FWw,M-P4QBt-FWw,5890488,137830,42.737
496,https://www.youtube.com/watch?v=KPYcso5TevE,KPYcso5TevE,2248,2810,0.8
497,https://www.youtube.com/watch?v=_wNsZEqpKUA,_wNsZEqpKUA,1172037,13874,84.477
498,https://www.youtube.com/watch?v=3tmd-ClpJxA,3tmd-ClpJxA,11939557,1373103,8.695
499,https://www.youtube.com/watch?v=whhXbtJgD_g,whhXbtJgD_g,178126,5277,33.755
503,https://www.youtube.com/watch?v=e-ORhEE9VVg,e-ORhEE9VVg,13182083,766328,17.202
506,https://www.youtube.com/watch?v=5EQ8ctJmmUo,5EQ8ctJmmUo,11713,2,5856.5
507,https://www.youtube.com/watch?v=ktvTqknDobU,ktvTqknDobU,8853581,262031,33.788
508,https://www.youtube.com/watch?v=5X-Mrc2l1d0,5X-Mrc2l1d0,2042661,45404,44.989
511,https://www.youtube.com/watch?v=r7qovpFAGrQ,r7qovpFAGrQ,10737688,335258,32.028
512,https://www.youtube.com/watch?v=ynqibTQqlaY,ynqibTQqlaY,119816,6736,17.787
513,https://www.youtube.com/watch?v=tcrTQUVkUe0,tcrTQUVkUe0,956324,27715,34.506
514,https://www.youtube.com/watch?v=HhjHYkPQ8F0,HhjHYkPQ8F0,4295463,73246,58.644
516,https://www.youtube.com/watch?v=uDAjINEp8H8,uDAjINEp8H8,485198,11705,41.452
517,https://www.youtube.com/watch?v=6G7GulQJUIU,6G7GulQJUIU,409665,33558,12.208
520,https://www.youtube.com/watch?v=hD1YtmKXNb4,hD1YtmKXNb4,2515646,24871,101.148
